source,source_name,target,target_name,cost,name,source_location_type_id,target_location_type,,
164,Mường Tè,168,Pác Ma,50,???,Thị Trấn,Chưa xác định,6,2
168,Pác Ma,169,Chung Chải,70,???,Chưa xác định,Xã,8,6
169,Chung Chải,170,A Pa Chải,30,???,Xã,Điểm Cực Tây,15,8
169,Chung Chải,171,Mường Nhé,20,???,Xã,Thị Trấn,2,8
171,Mường Nhé,172,Chà Cang,80,???,Thị Trấn,Xã,8,2
172,Chà Cang,162,Mường Chà,60,???,Xã,Thị Trấn,2,8
162,Mường Chà,160,Mường Lay,43,QL 12,Thị Trấn,Thị Trấn,2,2
162,Mường Chà,50,Điện Biên Phủ,52,QL 12,Thị Trấn,TP,1,2
50,Điện Biên Phủ,159,Tuần Giáo,80,QL 279,TP,Thị Trấn,2,1
50,Điện Biên Phủ,173,Mường Phăng,36,???,TP,Di Tích,11,1
50,Điện Biên Phủ,174,Điện Biên Đông,48,ĐT 130,TP,Huyện,5,1
174,Điện Biên Đông,175,Sông Mã,98,ĐT 130 - ĐT 115,Huyện,Thị Trấn,2,5
175,Sông Mã,176,Chiềng Khương,32,QL 4G,Thị Trấn,Xã,8,2
176,Chiềng Khương,158,Sơn La,68,QL 4G,Xã,TP,1,8
49,Sơn La ,177,Ngã Ba Cò Nòi,45,QL 6,TP,Địa Danh,17,1
177,Ngã Ba Cò Nòi,178,Mộc Châu,75,QL 6,Địa Danh,Huyện,5,17
178,Mộc Châu,179,Mai Châu,60,QL 6,Huyện,Huyện,5,5
179,Mai Châu,180,Tân Lạc,35,QL 6,Huyện,Huyện,5,5
180,Tân Lạc,48,Hòa Bình,30,QL 6,Huyện,TP,1,5
48,Hòa Bình,181,Xuân Mai,37,QL 6,TP,Thị Trấn,2,1
